country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,"[[1.0, 100.0]]","[[0.6279403712633513, 0.6715320949185324]]",0.673949986696832,0.8235255436660692,0.6781943210704949,0.8785814705130618,0.9399690341043315,0.88354178507503,0.6243838204689203,0.8146992575341097,0.6637348802266295,0.023837460979040603,0.4305080792943915,0.18533720633774609
ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,"[[10.0, 10.0]]","[[0.6411114488152115, 0.6443418344695454]]",0.6471204445190344,0.8045049368880445,0.6472281934772364,0.8007518395503709,0.9005423636317923,0.8109765486955353,0.6695376459455424,0.822396374355667,0.6763357965533464,0.10503655468807938,0.43560245420831983,0.18974949811231137
ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,648,518,130,"[[1.0, 1000.0]]","[[0.6346819044128493, 0.6709464159946681]]",0.673268459207912,0.8232392336162176,0.6777228357650174,0.8743214094039771,0.9377430867483691,0.8793620967443594,0.6246517446783673,0.8137447541328243,0.6621805248786907,0.02642354009885528,0.4344288006954327,0.188728382873672
ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,384,307,77,"[[1.0, 10.0]]","[[0.5964335909013423, 0.6393319536738231]]",0.6509847149634647,0.8142422618428651,0.6629904609709849,0.9506529951411423,0.9765092913800506,0.9535703961515686,0.7484777510030411,0.8698421579154891,0.7566253796870748,-0.12801512633852252,0.35736497718825555,0.1277097269207624
ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,False,384,307,77,"[[1.0, 100000000.0]]","[[0.5813804771951245, 0.6383829607405339]]",0.6468380830466818,0.8137679996065609,0.6622183571836636,0.9271158297986334,0.9647138785872714,0.9306728675388967,0.7294069957112257,0.8582290754440474,0.7365571459375443,-0.0328328881848059,0.3944734009686874,0.1556092640718028
ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,False,384,307,77,"[[10.0, 10.0]]","[[0.6208072587051215, 0.6791306465960588]]",0.6896167781691702,0.8307166776379314,0.6900901985058029,0.9116963299718669,0.9581205105268387,0.91799491269221,0.7390179576183274,0.8612549550957996,0.7417600976770679,0.02780247700506855,0.3797767185959286,0.14423035598749115
ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,False,384,307,77,"[[1.0, 100000000.0]]","[[0.6137709655710832, 0.6383829612605694]]",0.6468380844611077,0.8137680006420763,0.6622183588690024,0.9271158322273111,0.9647138798652266,0.9306728700046188,0.7294069931178399,0.8582290739549058,0.7365571433814951,-0.03283287099044507,0.3944734073633866,0.15560926911688033
ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,False,648,518,130,"[[1.0, 100.0]]","[[0.6564518607883076, 0.6879330601952971]]",0.68970360848283,0.8324718007831342,0.6930092990991142,0.8875644740949435,0.9447423085167129,0.892538029501488,0.6291251266925023,0.8163694172731899,0.6664590254589676,0.04917382944310955,0.4549868425313152,0.20701302687661582
ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,648,518,130,"[[1.0, 10.0]]","[[0.6573231818272169, 0.6893165203869466]]",0.6910617888425634,0.8340388185039928,0.6956207507715362,0.9107232144490592,0.9567004075596952,0.915275669824887,0.6510827693946633,0.8285524976517681,0.6864992413649832,0.008681028621443931,0.45176220793759214,0.20408909252064825
ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1.0, 10.0]]","[[0.6432048842282219, 0.7014823937671437]]",0.707198873497453,0.8438607728921159,0.7121010040260792,0.966499862272611,0.984347022984803,0.9689390616590443,0.812900861485509,0.9025653669965444,0.814624241701607,-0.08292049352577324,0.3678040451017704,0.13527981559322516
